1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0.0,0.0,0.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.749,3.847,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,11.027,17.263,0.0,0.0,0.0,0.0,0.0,0.599,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.051,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.276,2.141,0.481,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.296,6.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.907,1.854,2.463,0.0,3.099,2.763,0.055,2.096,3.085,0.0,0.286,0.0,1.382,0.939,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.086,37.917,9.836,349.486,891.316,513.527,206.486,1088.745,609.861,2129.214,3672.173,5947.564,20243.016,16619.276,25111.112,30160.78,38971.138,48280.296,40840.196
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.386,0.0,0.0,0.314,0.431,13.319,0.0,0.0,0.0,1.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.049,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.385,74.534,1.444,108.179,25.49,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,5.498,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.089,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.442,0.0,0.0,0.0,0.0,0.0,0.0,31.17,100.082,432.538,363.189,767.315,941.923,679.047
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.23,2.928,10.463,55.23,171.78,310.686,306.436,1467.324,2060.047,2842.522,2997.927,3851.345,3651.437,2560.517
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.907,0.0,0.0,14.618,14.699,166.081,820.748,1205.959,1323.788,807.51,2109.302,2284.032,2490.592,2459.767,2446.196,2598.911,1157.22,937.59
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.125,468.186,86.218,0.0,86.413,5.886,21.63,20.564,0.0
2.617,8.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.14,70.144,64.001,34.71,52.144,148.006,170.105,394.547,362.082,511.055,1361.424,718.49
16.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.494,83.649,44.394,72.282,145.872,38.11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.106,0.0,9.813
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.085,0.0,0.0,45.763,62.304,45.548,60.321,11.87,8.435
0.0,22.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.827,0.0,0.0,0.0,0.0,0.0,1.262,7.527,6.585,5.592,6.711,0.0,82.709,140.383,1.211,183.156,19.285,75.429
0.0,0.0,0.0,0.0,0.0,0.0,1.883,65.096,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,16.872,0.0,15.284,82.951,102.27,89.148,55.59,72.944
0.0,0.0,0.0,0.0,0.0,0.0,12.847,0.0,0.0,2.456,0.0,0.0,6.689,41.354,227.878,312.85,1733.524,727.939,419.443,494.194,1655.873,937.21,1616.943,3357.154,1970.468,1722.541,2662.141
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.133,0.0,0.0,0.009,0.0,0.0,60.595,7.703,31.775,47.353,41.132,12.475,124.224
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.304,0.0,1891.614,1552.232,1331.767,1176.625,0.0,0.0,0.0
0.0,6.122,25.94,93.007,8.947,0.0,0.0,10.562,22.945,18.255,0.0,0.639,20.234,0.0,0.0,0.0,7.663,32.205,17.156,139.812,131.822,33.764,1908.9,2818.735,2161.439,4350.025,4404.343
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.581,215.034,113.15,44.238,39.839,13.359
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.125,15.522,0.0,38.14,52.313,295.157,173.746,36.561,55.786,3.197
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.455,8.725,0.0,29.512,32.725,117.297,53.902,57.212,22.716,6.339
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.199,5.658,27.728,36.396,56.701,100.206,513.132,1256.922,1656.826,1550.258,1855.728,2104.805,2395.49,2389.886,2018.252,1859.284
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.993,0.0,0.0,0.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.235,0.0,0.0,0.0,54.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.862,43.695,16.379,188.78,75.284
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.819,35.209,0.0,24.95,30.873,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.754,3.993,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.289,40.521,0.0,86.243,12.434,62.826,469.544,13.362,44.74,105.243,46.313
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.511,162.192,153.624,128.91,555.009,1605.599,2918.16,4538.722,4418.747,3160.712,2229.39,1083.58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.646,0.0,0.0,0.0,0.0,0.0,46.559,122.901,18.326,334.776,330.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,0.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.528,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.526,55.649,145.243,19.965,507.436,1310.204,1868.452,3459.958,5086.545,8564.38,10443.067,12198.977,14001.221,13275.475,13311.542,9779.796
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643,0.256,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.307,0.0,0.0,0.0,0.0,0.0,0.0,5.444,57.358,4.059,13.776,18.896,42.89
5.371,7.15,1.709,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,17.514,17.118,0.0,0.0,0.0,7.766,207.218,428.089,306.772,429.236,412.683,292.983
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.213,0.0,0.0,13.542,0.0,0.0,9.38,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.85,0.0,70.438,161.228,151.632,127.435,291.388,65.879
0.0,0.0,0.0,0.0,0.0,0.777,0.0,0.0,0.0,0.023,0.0,0.0,0.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.407,4.841,16.099,32.995,10.219
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.001,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63,0.0,0.0,219.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.909,24.997,0.0,15.778,18.293,55.47,0.0,112.935,25.983,92.018,32.043,5.07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.938,21.144,28.393,32.53,79.521,96.058,78.956,112.357,237.692,348.545,667.703,1105.999,1336.065,1437.015,1709.467,2205.335,2259.016,3462.538,2898.763
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.344,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.348,19.591,7.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
